State,Latitude,Longitude,Sun and Moon Data
Alabama,32.377,-86.3006,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:36  ST'}, {'phen': 'Rise', 'time': '11:27  ST'}, {'phen': 'Upper Transit', 'time': '19:03  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:42  ST'}, {'phen': 'Rise', 'time': '07:06  ST'}, {'phen': 'Upper Transit', 'time': '12:56  ST'}, {'phen': 'Set', 'time': '18:47  ST'}, {'phen': 'End Civil Twilight', 'time': '19:11  ST'}], 'tz': -5.0, 'year': 2025}"
Alaska,58.3019,-134.4197,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '07:37  ST'}, {'phen': 'Rise', 'time': '12:04  ST'}, {'phen': 'Upper Transit', 'time': '22:24  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '09:58  ST'}, {'phen': 'Rise', 'time': '10:38  ST'}, {'phen': 'Upper Transit', 'time': '16:09  ST'}, {'phen': 'Set', 'time': '21:41  ST'}, {'phen': 'End Civil Twilight', 'time': '22:21  ST'}], 'tz': -5.0, 'year': 2025}"
Arizona,33.4484,-112.074,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '03:27  ST'}, {'phen': 'Rise', 'time': '13:10  ST'}, {'phen': 'Upper Transit', 'time': '20:50  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '08:25  ST'}, {'phen': 'Rise', 'time': '08:50  ST'}, {'phen': 'Upper Transit', 'time': '14:39  ST'}, {'phen': 'Set', 'time': '20:29  ST'}, {'phen': 'End Civil Twilight', 'time': '20:54  ST'}], 'tz': -5.0, 'year': 2025}"
Arkansas,34.7465,-92.2896,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:09  ST'}, {'phen': 'Rise', 'time': '11:44  ST'}, {'phen': 'Upper Transit', 'time': '19:28  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:06  ST'}, {'phen': 'Rise', 'time': '07:31  ST'}, {'phen': 'Upper Transit', 'time': '13:20  ST'}, {'phen': 'Set', 'time': '19:10  ST'}, {'phen': 'End Civil Twilight', 'time': '19:35  ST'}], 'tz': -5.0, 'year': 2025}"
California,38.575764,-121.478851,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '04:25  ST'}, {'phen': 'Rise', 'time': '13:31  ST'}, {'phen': 'Upper Transit', 'time': '21:30  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '09:04  ST'}, {'phen': 'Rise', 'time': '09:30  ST'}, {'phen': 'Upper Transit', 'time': '15:17  ST'}, {'phen': 'Set', 'time': '21:04  ST'}, {'phen': 'End Civil Twilight', 'time': '21:31  ST'}], 'tz': -5.0, 'year': 2025}"
Colorado,39.7392,-104.9903,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '03:20  ST'}, {'phen': 'Rise', 'time': '12:18  ST'}, {'phen': 'Upper Transit', 'time': '20:21  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:58  ST'}, {'phen': 'Rise', 'time': '08:25  ST'}, {'phen': 'Upper Transit', 'time': '14:11  ST'}, {'phen': 'Set', 'time': '19:58  ST'}, {'phen': 'End Civil Twilight', 'time': '20:25  ST'}], 'tz': -5.0, 'year': 2025}"
Connecticut,41.764,-72.6822,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:13  ST'}, {'phen': 'Rise', 'time': '09:55  ST'}, {'phen': 'Upper Transit', 'time': '18:06  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '05:49  ST'}, {'phen': 'Rise', 'time': '06:17  ST'}, {'phen': 'Upper Transit', 'time': '12:02  ST'}, {'phen': 'Set', 'time': '17:47  ST'}, {'phen': 'End Civil Twilight', 'time': '18:15  ST'}], 'tz': -5.0, 'year': 2025}"
Delaware,39.1582,-75.5244,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:14  ST'}, {'phen': 'Rise', 'time': '10:18  ST'}, {'phen': 'Upper Transit', 'time': '18:18  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:00  ST'}, {'phen': 'Rise', 'time': '06:27  ST'}, {'phen': 'Upper Transit', 'time': '12:13  ST'}, {'phen': 'Set', 'time': '18:00  ST'}, {'phen': 'End Civil Twilight', 'time': '18:27  ST'}], 'tz': -5.0, 'year': 2025}"
Florida,30.4383,-84.2807,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:21  ST'}, {'phen': 'Rise', 'time': '11:25  ST'}, {'phen': 'Upper Transit', 'time': '18:55  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:33  ST'}, {'phen': 'Rise', 'time': '06:57  ST'}, {'phen': 'Upper Transit', 'time': '12:48  ST'}, {'phen': 'Set', 'time': '18:40  ST'}, {'phen': 'End Civil Twilight', 'time': '19:04  ST'}], 'tz': -5.0, 'year': 2025}"
Georgia,33.749,-84.388,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:32  ST'}, {'phen': 'Rise', 'time': '11:15  ST'}, {'phen': 'Upper Transit', 'time': '18:55  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:34  ST'}, {'phen': 'Rise', 'time': '06:59  ST'}, {'phen': 'Upper Transit', 'time': '12:49  ST'}, {'phen': 'Set', 'time': '18:39  ST'}, {'phen': 'End Civil Twilight', 'time': '19:03  ST'}], 'tz': -5.0, 'year': 2025}"
Hawaii,21.307,-157.8584,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '06:04  ST'}, {'phen': 'Rise', 'time': '16:57  ST'}], 'sundata': [{'phen': 'End Civil Twilight', 'time': '00:00  ST'}, {'phen': 'Begin Civil Twilight', 'time': '11:25  ST'}, {'phen': 'Rise', 'time': '11:47  ST'}, {'phen': 'Upper Transit', 'time': '17:42  ST'}, {'phen': 'Set', 'time': '23:38  ST'}], 'tz': -5.0, 'year': 2025}"
Idaho,43.6178,-116.1997,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '04:24  ST'}, {'phen': 'Rise', 'time': '12:47  ST'}, {'phen': 'Upper Transit', 'time': '21:08  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '08:43  ST'}, {'phen': 'Rise', 'time': '09:12  ST'}, {'phen': 'Upper Transit', 'time': '14:56  ST'}, {'phen': 'Set', 'time': '20:40  ST'}, {'phen': 'End Civil Twilight', 'time': '21:09  ST'}], 'tz': -5.0, 'year': 2025}"
Illinois,39.798,-89.644,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:16  ST'}, {'phen': 'Rise', 'time': '11:14  ST'}, {'phen': 'Upper Transit', 'time': '19:17  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:57  ST'}, {'phen': 'Rise', 'time': '07:24  ST'}, {'phen': 'Upper Transit', 'time': '13:10  ST'}, {'phen': 'Set', 'time': '18:56  ST'}, {'phen': 'End Civil Twilight', 'time': '19:23  ST'}], 'tz': -5.0, 'year': 2025}"
Indiana,39.7684,-86.1581,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:01  ST'}, {'phen': 'Rise', 'time': '11:00  ST'}, {'phen': 'Upper Transit', 'time': '19:02  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:43  ST'}, {'phen': 'Rise', 'time': '07:10  ST'}, {'phen': 'Upper Transit', 'time': '12:56  ST'}, {'phen': 'Set', 'time': '18:42  ST'}, {'phen': 'End Civil Twilight', 'time': '19:09  ST'}], 'tz': -5.0, 'year': 2025}"
Iowa,41.5908,-93.6208,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:40  ST'}, {'phen': 'Rise', 'time': '11:23  ST'}, {'phen': 'Upper Transit', 'time': '19:34  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:13  ST'}, {'phen': 'Rise', 'time': '07:41  ST'}, {'phen': 'Upper Transit', 'time': '13:26  ST'}, {'phen': 'Set', 'time': '19:11  ST'}, {'phen': 'End Civil Twilight', 'time': '19:39  ST'}], 'tz': -5.0, 'year': 2025}"
Kansas,39.0473,-95.6752,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:38  ST'}, {'phen': 'Rise', 'time': '11:42  ST'}, {'phen': 'Upper Transit', 'time': '19:42  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:21  ST'}, {'phen': 'Rise', 'time': '07:47  ST'}, {'phen': 'Upper Transit', 'time': '13:34  ST'}, {'phen': 'Set', 'time': '19:21  ST'}, {'phen': 'End Civil Twilight', 'time': '19:48  ST'}], 'tz': -5.0, 'year': 2025}"
Kentucky,38.1868,-84.8753,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:50  ST'}, {'phen': 'Rise', 'time': '11:01  ST'}, {'phen': 'Upper Transit', 'time': '18:57  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:37  ST'}, {'phen': 'Rise', 'time': '07:04  ST'}, {'phen': 'Upper Transit', 'time': '12:51  ST'}, {'phen': 'Set', 'time': '18:38  ST'}, {'phen': 'End Civil Twilight', 'time': '19:05  ST'}], 'tz': -5.0, 'year': 2025}"
Louisiana,30.4571,-91.1874,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:50  ST'}, {'phen': 'Rise', 'time': '11:53  ST'}, {'phen': 'Upper Transit', 'time': '19:23  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:01  ST'}, {'phen': 'Rise', 'time': '07:25  ST'}, {'phen': 'Upper Transit', 'time': '13:16  ST'}, {'phen': 'Set', 'time': '19:07  ST'}, {'phen': 'End Civil Twilight', 'time': '19:31  ST'}], 'tz': -5.0, 'year': 2025}"
Maine,44.307,-69.7817,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:12  ST'}, {'phen': 'Rise', 'time': '09:31  ST'}, {'phen': 'Upper Transit', 'time': '17:54  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '05:38  ST'}, {'phen': 'Rise', 'time': '06:07  ST'}, {'phen': 'Upper Transit', 'time': '11:50  ST'}, {'phen': 'Set', 'time': '17:34  ST'}, {'phen': 'End Civil Twilight', 'time': '18:03  ST'}], 'tz': -5.0, 'year': 2025}"
Maryland,38.9784,-76.4922,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:18  ST'}, {'phen': 'Rise', 'time': '10:23  ST'}, {'phen': 'Upper Transit', 'time': '18:22  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:04  ST'}, {'phen': 'Rise', 'time': '06:31  ST'}, {'phen': 'Upper Transit', 'time': '12:17  ST'}, {'phen': 'Set', 'time': '18:04  ST'}, {'phen': 'End Civil Twilight', 'time': '18:31  ST'}], 'tz': -5.0, 'year': 2025}"
Massachusetts,42.3601,-71.0589,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:09  ST'}, {'phen': 'Rise', 'time': '09:46  ST'}, {'phen': 'Upper Transit', 'time': '18:00  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '05:43  ST'}, {'phen': 'Rise', 'time': '06:11  ST'}, {'phen': 'Upper Transit', 'time': '11:55  ST'}, {'phen': 'Set', 'time': '17:40  ST'}, {'phen': 'End Civil Twilight', 'time': '18:09  ST'}], 'tz': -5.0, 'year': 2025}"
Michigan,42.7335,-84.5555,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:07  ST'}, {'phen': 'Rise', 'time': '10:40  ST'}, {'phen': 'Upper Transit', 'time': '18:56  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:37  ST'}, {'phen': 'Rise', 'time': '07:05  ST'}, {'phen': 'Upper Transit', 'time': '12:49  ST'}, {'phen': 'Set', 'time': '18:34  ST'}, {'phen': 'End Civil Twilight', 'time': '19:03  ST'}], 'tz': -5.0, 'year': 2025}"
Minnesota,44.9551,-93.1022,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:54  ST'}, {'phen': 'Rise', 'time': '11:05  ST'}, {'phen': 'Upper Transit', 'time': '19:31  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:11  ST'}, {'phen': 'Rise', 'time': '07:41  ST'}, {'phen': 'Upper Transit', 'time': '13:24  ST'}, {'phen': 'Set', 'time': '19:07  ST'}, {'phen': 'End Civil Twilight', 'time': '19:36  ST'}], 'tz': -5.0, 'year': 2025}"
Mississippi,32.2988,-90.1848,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '01:52  ST'}, {'phen': 'Rise', 'time': '11:43  ST'}, {'phen': 'Upper Transit', 'time': '19:19  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '06:57  ST'}, {'phen': 'Rise', 'time': '07:22  ST'}, {'phen': 'Upper Transit', 'time': '13:12  ST'}, {'phen': 'Set', 'time': '19:02  ST'}, {'phen': 'End Civil Twilight', 'time': '19:27  ST'}], 'tz': -5.0, 'year': 2025}"
Missouri,38.5767,-92.1735,"{'closestphase': {'day': 6, 'month': 3, 'phase': 'First Quarter', 'time': '11:31  ST', 'year': 2025}, 'curphase': 'First Quarter', 'day': 6, 'day_of_week': 'Thursday', 'fracillum': '50%', 'isdst': False, 'label': None, 'month': 3, 'moondata': [{'phen': 'Set', 'time': '02:22  ST'}, {'phen': 'Rise', 'time': '11:29  ST'}, {'phen': 'Upper Transit', 'time': '19:28  ST'}], 'sundata': [{'phen': 'Begin Civil Twilight', 'time': '07:07  ST'}, {'phen': 'Rise', 'time': '07:33  ST'}, {'phen': 'Upper Transit', 'time': '13:20  ST'}, {'phen': 'Set', 'time': '19:07  ST'}, {'phen': 'End Civil Twilight', 'time': '19:34  ST'}], 'tz': -5.0, 'year': 2025}"
